                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1098,                 2.8533,                 1.8123,                0.33514,                0.48387,                0.34855,                0.11304,                 2.1159,                 1.8465,                 1.8864,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.8505,                 1.6267,                 1.5735,                0.87133,                0.75806,                0.83765,                0.35879,                 1.7626,                 1.3018,                 1.5204,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.7073,                 1.1341,                 1.3566,                 0.9147,                 0.8871,                0.93854,                0.49041,                 1.6649,                 1.1442,                  1.404,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.5456,                0.84566,                 1.2886,                0.93746,                0.96774,                0.95996,                0.49115,                 1.6431,                 1.2176,                 1.3905,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.5625,                0.79813,                  1.336,                 0.7731,                 0.8871,                0.77654,                0.41733,                 1.5724,                 1.0583,                 1.3572,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.4721,                0.79651,                 1.2697,                0.95083,                0.93567,                0.98059,                0.54323,                 1.4982,                 1.2687,                 1.3102,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.4937,                0.76489,                 1.2463,                0.95054,                0.92996,                0.97059,                0.55854,                 1.4752,                 1.1865,                 1.2983,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.4629,                 0.6985,                 1.2183,                 0.9959,                0.96774,                0.98369,                0.56922,                 1.4339,                 1.1396,                 1.2553,             0.00042812,             0.00042812,             0.00042812
                      9,                  1.484,                0.72995,                 1.2907,                 0.8549,                0.95032,                0.91367,                0.47008,                 1.6949,                 1.8533,                 1.4324,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.5307,                0.72504,                  1.263,                0.83845,                0.85484,                0.85045,                 0.4582,                 1.6077,                 2.1221,                 1.3949,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.4283,                0.69417,                 1.2494,                0.71538,                0.64869,                0.65345,                 0.2842,                 1.6838,                  1.932,                 1.5166,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.4491,                0.75976,                 1.2287,                 0.8796,                0.87097,                0.87148,                0.43829,                 1.5542,                 1.1873,                 1.3019,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.4366,                0.72163,                 1.2377,                0.58927,                0.87937,                 0.6613,                0.34729,                 1.5442,                 2.2732,                 1.3392,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.3098,                0.65973,                 1.1795,                0.61749,                0.80645,                0.60348,                0.31156,                 1.6037,                 2.1748,                 1.3267,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.4541,                 0.6929,                 1.1987,                0.76445,                0.78522,                0.84066,                0.40303,                 1.7484,                 1.3985,                 1.4459,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.4048,                0.68868,                 1.1675,                0.78438,                0.72581,                0.75784,                0.39614,                 1.6807,                 1.2405,                 1.3723,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.3861,                0.68633,                 1.1443,                0.80899,                0.75806,                0.81607,                0.37805,                 1.5974,                 1.4217,                 1.3128,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3341,                0.65293,                 1.1188,                0.75116,                0.74194,                0.70515,                 0.3193,                 1.7118,                 1.6838,                 1.4177,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.2878,                0.64805,                 1.1027,                0.61587,                0.69825,                0.57919,                0.25358,                 1.8489,                 1.7139,                 1.5353,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.3835,                0.71239,                 1.1833,                0.67605,                0.67742,                0.66086,                0.31257,                 1.7624,                 1.6293,                 1.4579,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.3351,                0.65611,                 1.1373,                0.80193,                0.70968,                0.79508,                 0.3973,                 1.7609,                 1.3793,                 1.5152,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.2584,                0.61974,                 1.1182,                0.85353,                  0.752,                0.79416,                0.40204,                 1.7887,                  1.126,                 1.5121,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.2975,                0.65028,                 1.1713,                0.86409,                0.79032,                0.87415,                0.49928,                  1.519,                 1.0159,                 1.2767,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.2531,                0.63302,                 1.1417,                0.80254,                0.80645,                0.85622,                0.48788,                 1.5451,                 1.4497,                  1.305,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.2809,                0.63066,                 1.1152,                0.44452,                0.51613,                0.52788,                0.30163,                 1.5287,                 3.2445,                 1.3112,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.2609,                0.63166,                 1.1391,                 0.5378,                0.75073,                0.68354,                 0.3853,                 1.5793,                 1.7224,                 1.3599,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.2406,                0.66496,                 1.0941,                0.79919,                0.77419,                0.82696,                0.47958,                 1.6024,                 1.6067,                 1.3632,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2792,                0.64705,                 1.1131,                0.86539,                0.80645,                0.88398,                0.48256,                 1.4978,                 1.6078,                 1.3299,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.2974,                0.66068,                 1.1562,                0.86539,                0.80645,                0.88398,                0.48256,                 1.4978,                 1.6078,                 1.3299,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.2838,                0.64693,                 1.1473,                0.96439,                0.87367,                0.94536,                0.49755,                 1.5914,                 1.4821,                  1.443,               0.001269,               0.001269,               0.001269
                     31,                 1.3234,                0.66902,                   1.16,                0.96816,                0.82258,                0.93802,                   0.52,                 1.4833,                 1.0939,                   1.32,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.2612,                0.66901,                 1.0992,                0.93605,                 0.8871,                0.93867,                0.48666,                 1.5502,                 1.0051,                 1.3599,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.3616,                 0.6627,                 1.1916,                0.93605,                 0.8871,                0.93867,                0.48666,                 1.5502,                 1.0051,                 1.3599,              0.0013391,              0.0013391,              0.0013391
                     34,                  1.247,                0.63766,                 1.1053,                0.94926,                0.90519,                0.92043,                0.53579,                 1.3655,                0.99441,                 1.2267,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2322,                 0.6175,                 1.0811,                0.91044,                0.90323,                0.94518,                0.56232,                 1.3505,                 1.0994,                 1.2181,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2099,                0.64623,                   1.12,                0.88571,                 0.8871,                0.92228,                 0.5755,                 1.3498,                0.97748,                 1.2298,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1427,                0.57496,                 1.0833,                0.88571,                 0.8871,                0.92228,                 0.5755,                 1.3498,                0.97748,                 1.2298,               0.001307,               0.001307,               0.001307
                     38,                 1.2093,                0.61989,                 1.1066,                0.91857,                0.90973,                 0.9193,                0.53583,                  1.463,                0.83309,                 1.3402,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.236,                0.61762,                 1.1366,                0.98297,                0.93119,                0.95269,                0.57377,                 1.4164,                0.70491,                 1.2715,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.227,                 0.5979,                 1.1397,                0.96447,                 0.8758,                0.92462,                0.56813,                 1.3536,                0.75346,                 1.2299,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2576,                0.62824,                 1.1174,                0.96447,                 0.8758,                0.92462,                0.56813,                 1.3536,                0.75346,                 1.2299,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1949,                0.61787,                 1.1367,                0.89825,                0.87097,                0.93094,                0.56086,                 1.3863,                0.73229,                 1.2327,               0.001208,               0.001208,               0.001208
                     43,                 1.3016,                0.66794,                 1.1055,                0.95887,                0.79032,                0.92871,                0.52718,                 1.4476,                0.74064,                 1.2284,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2418,                0.60539,                 1.1126,                0.90119,                 0.8871,                0.90384,                 0.5332,                 1.4244,                0.83056,                 1.1994,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2398,                0.59984,                 1.1023,                0.90119,                 0.8871,                0.90384,                 0.5332,                 1.4244,                0.83056,                 1.1994,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1886,                0.58405,                 1.1197,                0.94314,                0.90323,                0.94169,                0.56895,                 1.3974,                 0.7643,                 1.1944,              0.0011288,              0.0011288,              0.0011288
